tokens,ner_tags,sentence_label
"['UN', 'official', 'says', 'Iraqi', 'deal', 'will', 'occur', '""', 'soon', '""', '.']","[3, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]",0
"['U.S.', ',', 'French', 'and', 'British', 'aircraft', 'have', 'safeguarded', 'the', 'Iraqi', 'Kurdish', 'population', 'against', 'aggression', 'from', 'Baghdad', 'since', 'shortly', 'after', 'the', 'Gulf', 'War', 'in', '1991', '.']","[5, 0, 7, 0, 7, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 5, 0, 0, 0, 0, 7, 8, 0, 0, 0]",0
"['Two', 'Thai', 'border', 'policemen', 'were', 'seriously', 'wounded', 'on', 'Sunday', 'when', 'members', 'of', 'a', 'Burmese', 'rebel', 'splinter', 'faction', 'ambushed', 'their', 'patrol', 'in', 'northwest', 'Thailand', ',', 'security', 'officers', 'said', '.']","[0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]",1
"['75', 'Jim', 'Furyk', ',', 'Satoshi', 'Higashi', '(', 'Japan', ')', ',', 'Willie', 'Wood', ',', 'Shigeki']","[0, 1, 2, 0, 1, 2, 0, 5, 0, 0, 1, 2, 0, 1]",1
"['rugby', 'league', 'matches', 'on', 'Sunday', ':']","[0, 0, 0, 0, 0, 0]",1
"['BRATISLAVA', '1996-08-26']","[5, 0]",0
"['--', 'Paris', 'newsroom', '+331', '4221', '5452']","[0, 5, 0, 0, 0, 0]",4
"['MONTREAL', '70', '58', '.547', '11']","[3, 0, 0, 0, 0]",2
"['5.', 'Damon', 'Hill', '(', 'Britain', ')', 'Williams', '29.179']","[0, 1, 2, 0, 5, 0, 1, 0]",1
['1996-08-22'],[0],4
"['German-based', 'striker', 'Bachirou', 'Salou', 'returned', 'home', 'to', 'Togo', 'to', 'score', 'the', 'decisive', 'only', 'goal', 'of', 'their', 'tie', 'against', 'Congo', '.']","[0, 0, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]",1
"['1.', 'Chris', 'Boardman', '(', 'Britain', ')', '4:13.353']","[0, 1, 2, 0, 5, 0, 0]",1
"['3.', 'Aliuska', 'Lopez', '(', 'Cuba', ')', '12.85']","[0, 1, 2, 0, 5, 0, 0]",1
"['The', 'dog', 'attacked', 'Louis', 'Booy', 'in', 'the', 'front', 'garden', 'of', 'his', 'grandparents', ""'"", 'house', 'in', 'Vanderbijlpark', 'near', 'Johannesburg', 'on', 'Tuesday', '.']","[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0]",1
"['Japan', 'aluminium', 'shipments', 'surge', '8.9', 'pct', 'in', 'July', '.']","[5, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Redgrave', 'is', 'one', 'of', 'only', 'five', 'athletes', 'who', 'have', 'won', 'gold', 'medals', 'at', 'four', 'successive', 'Olympics', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0]",1
"['SATURDAY', ',', 'AUGUST', '24TH', 'SCHEDULE']","[0, 0, 0, 0, 0]",4
"['Germany', 'said', 'on', 'Thursday', 'it', 'had', 'received', 'assurances', 'from', 'the', 'Russian', 'government', 'that', 'its', 'forces', 'would', 'observe', 'the', 'latest', 'ceasefire', 'in', 'Chechnya', '.']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]",0
"['Kelly', 'averaged', '57.345', 'kph', 'to', 'beat', 'Soren', 'Lausgberg', 'of', 'Germany', 'by', 'eighteen', 'hundredths', 'of', 'a', 'second', '.']","[1, 0, 0, 0, 0, 0, 1, 2, 0, 5, 0, 0, 0, 0, 0, 0, 0]",1
"['7', '(', '151', ')', 'Melbourne', '11.12', '(', '78', ')']","[0, 0, 0, 0, 3, 0, 0, 0, 0]",1
"['It', 'forecast', 'an', 'end', '1997', 'peso', 'in', 'the', 'range', 'of', '9.20-9.40', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Played', 'on', 'Saturday', ':']","[0, 0, 0, 0]",1
"['Aamir', 'Sohail', 'not', 'out', '29']","[1, 2, 0, 0, 0]",1
"['Kindercare', 'says', 'debt', 'buy', 'to', 'hit', 'Q1', 'results', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['1.', 'Colonna', 'three', 'hours', '42', 'mins', '55', 'seconds']","[0, 1, 0, 0, 0, 0, 0, 0]",4
"['Throughout', 'the', 'group', ',', 'higher', 'paper', 'prices', 'increased', 'costs', 'by', 'over', 'US$', '300', 'million', ',', '""', 'it', 'said', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]",2
"['Voting', 'began', 'on', 'Sunday', 'in', 'north', 'Lebanon', 'in', 'the', 'second', 'round', 'of', 'parliamentary', 'elections', 'with', '580,000', 'voters', 'eligible', 'to', 'choose', '28', 'members', 'of', 'the', '128-member', 'parliament', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Citing', 'the', 'disposal', 'of', 'Gencor', ""'s"", 'stake', 'in', 'industrial', 'holdings', 'group', 'Malbak', 'Ltd', 'for', 'one', 'billion', 'rand', 'among', 'other', 'smaller', 'disposals', ',', 'Gilbertson', 'said', 'Gencor', 'had', 'pruned', 'its', 'portfolio', 'to', 'concentrate', 'on', 'core', 'assets', '.']","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Leading', 'placings', 'in']","[0, 0, 0]",1
"['G.', 'Lloyd', 'not', 'out', '2']","[1, 2, 0, 0, 0]",1
"['BONN', '1996-08-23']","[5, 0]",4
"['Fremantle', '21', '6', '0', '15', '1673', '1912', '87.5', '24']","[3, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['SOCCER', '-', 'SCOTTISH', 'THIRD', 'DIVISION', 'RESULT', '.']","[0, 0, 7, 0, 0, 0, 0]",1
"['3.', 'Merlene', 'Ottey', '(', 'Jamaica', ')', '11.04']","[0, 1, 2, 0, 5, 0, 0]",1
"[',', '$', '2.44', 'million', 'refunding', 'bonds', '.']","[0, 0, 0, 0, 0, 0, 0]",2
"['Chester', '1', 'Cambridge', '1']","[3, 0, 3, 0]",1
"['Nuclear', 'pact', 'will', 'be', 'a', 'step', 'to', 'disarmament-China', '.']","[0, 0, 0, 0, 0, 0, 0, 7, 0]",0
"['Leila', 'Corcoran']","[1, 2]",4
"['He', 'will', 'not', 'be', 'considered', 'for', 'a', 'test', 'match', 'against', 'Australia', 'starting', 'on', 'October', '10', 'in', 'New', 'Delhi', ',', 'the', 'United', 'News', 'of', 'India', 'said', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 3, 4, 4, 4, 0, 0]",1
"['The', 'defeat', 'means', 'Ajax', ""'s"", 'main', 'title', 'contenders', 'PSV', 'Eindhoven', ',', 'who', 'beat', 'the', 'champions', '3-0', 'in', 'the', 'traditional', 'league', 'curtain-raiser', ',', 'can', 'go', 'three', 'points', 'clear', 'of', 'their', 'rivals', 'if', 'they', 'beat', 'Groningen', 'on', 'Sunday', '.']","[0, 0, 0, 3, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]",1
"['In', 'northern', 'Texas', ',', 'the', 'current', 'rainfall', 'situation', 'was', 'similar', 'to', 'most', 'of', 'Oklahoma', ',', 'said', 'Rodney', 'Mosier', ',', 'executive', 'assistant', 'for', 'the', 'Texas', 'Wheat', 'Producers', '.']","[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 0, 0, 0, 0, 0, 3, 4, 4, 0]",0
"['Stainless', 'Fighter', '-', '(', 'built', '1970', ')', '21,718', 'dwt', 'sold', 'at', 'auction', 'for', '$', '6', 'million', '.']","[7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['PARIS', '1996-08-27']","[5, 0]",0
"['Arsenal', '3', '2', '0', '1', '4', '2', '6']","[3, 0, 0, 0, 0, 0, 0, 0]",1
"['GAZA', '1996-08-28']","[5, 0]",0
"['Playing', 'Monday', ':', 'Deportivo', 'Espanol', 'v', 'Colon']","[0, 0, 0, 3, 4, 0, 3]",1
"['JAKARTA', '1996-08-22']","[5, 0]",0
"['A', 'third', 'and', 'final', 'vote', 'was', 'due', 'to', 'be', 'held', 'when', 'parliament', 'reconvened', 'on', 'Tuesday', 'but', 'legislators', 'were', 'not', 'expecting', 'a', 'clear', 'result', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['-', 'Members', 'of', 'parliament', 'seek', 'higher', 'pay', 'and', 'more', 'benefits', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['(', 'Yugoslavia', ')', '1', '(', '1-0', ')']","[0, 5, 0, 0, 0, 0, 0]",1
"['Scorers', ':']","[0, 0]",1
"['Costain', ""'s"", 'contract', 'to', 'build', 'the', 'controversial', 'Newbury', 'bypass', ',', 'which', 'runs', 'through', 'a', 'conservation', 'area', ',', 'has', 'led', 'to', 'violent', 'protests', 'delaying', 'building', ',', 'bomb', 'threats', ',', 'staff', 'intimidation', 'and', 'picketing', 'of', 'chief', 'executive', 'Alan', 'Lovell', ""'s"", 'home', '.']","[3, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]",1
"['PUT', 'D', '94.00', 'PCT', '0.94', 'DEM', '2.40', 'PCT', '101.40', 'X']","[0, 0, 0, 0, 0, 7, 0, 0, 0, 0]",2
"['-', 'ABN', 'AMRO', '3,003', '1,940', '5.95']","[0, 3, 4, 0, 0, 0]",2
"['*Note', '-', 'OB', 'and', 'Lotte', 'played', 'two', 'games', '.']","[0, 0, 3, 0, 1, 0, 0, 0, 0]",1
"['4.', 'El', 'Hassane', 'Lahssini', '(', 'Morocco', ')', '7:32.44']","[0, 1, 2, 2, 0, 5, 0, 0]",4
"['--', 'Warsaw', 'Newsroom', '+48', '22', '653', '9700']","[0, 3, 4, 0, 0, 0, 0]",4
"['German', 'flown', 'cargo', 'January-July', 'rise', '3.8', 'percent', '.']","[7, 0, 0, 0, 0, 0, 0, 0]",2
"['Chief', 'Nicholas', 'Gcaleka', ',', 'dressed', 'in', 'animal', 'skins', 'and', 'full', 'tribal', 'regalia', ',', 'journeyed', 'to', 'a', 'wintry', 'Scotland', 'in', 'February', 'on', 'a', 'hugely', 'publicised', 'quest', 'to', 'find', 'Hintsa', ""'s"", 'skull', '.']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0
"['China', 'on', 'Wednesday', 'called', 'on', 'Japan', 'to', 'acknowledge', 'its', 'wartime', 'past', 'and', 'put', 'a', 'stop', 'to', 'a', 'tide', 'of', 'resurgent', 'militarism', 'to', 'prevent', 'similar', 'atrocities', 'in', 'future', '.']","[5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['maybe', 'if', 'we', 'just', 'wait', 'another', 'few', 'years', 'for', 'the', 'next', 'downturn', 'in', 'coal', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
['GTR'],[7],3
"['Standings', '(', 'tabulated', 'under', 'played', ',', 'won', ',', 'drawn', ',', 'lost', ',', 'goals']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['Lens', '3', 'Montpellier', '2']","[3, 0, 3, 0]",1
"['Hashimoto', ',', 'who', 'has', 'already', 'visited', 'Mexico', 'and', 'Chile', ',', 'spent', 'three', 'days', 'in', 'Brazil', '.']","[1, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 5, 0]",0
"['Officials', 'in', 'Netanyahu', ""'s"", 'office', 'were', 'not', 'immediately', 'available', 'for', 'comment', 'on', 'Arafat', ""'s"", 'remarks', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",4
"['Haga', 'had', 'the', 'consolation', 'of', 'recording', 'the', 'fastest', 'lap', 'at', '147.159', 'kph', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"['""', 'The', 'girls', 'said', 'they', 'went', 'to', 'Belgium', 'voluntarily', 'and', 'the', 'police', 'suspect', 'that', 'they', 'were', 'used', 'to', 'act', 'in', 'pornographic', 'films', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['Did', 'not', 'bat', ':', 'Mohammad', 'Akam']","[0, 0, 0, 0, 1, 2]",1
"['4.', 'Johan', 'Boonen', '(', 'Belgium', ')', 'Husqvarna']","[0, 1, 2, 0, 5, 0, 3]",4
"['TOTAL', '1,113,785', 'up', '3.8']","[0, 0, 0, 0]",2
"['Women', ""'s"", '100', 'metres', ':']","[0, 0, 0, 0, 0]",1
"['26.', 'Finland', '8.09']","[0, 5, 0]",2
"['Wednesday', ':']","[0, 0]",4
"['Melbourne', '21', '7', '0', '14', '1642', '2361', '69.5', '28']","[3, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['5.', 'Capiot', '5']","[0, 1, 0]",4
"['There', ""'s"", 'a', 'fairly', 'intensive', 'diplomatic', 'calendar', 'coming', 'up', 'in', 'the', 'fall', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['Republic', ')', '7-5', '6-3']","[5, 0, 0, 0]",1
"['Klas', 'Eriksson', '(', 'Sweden', ')', '71', '75', '72', ',', 'Mike', 'Clayton', '(', 'Australia', ')']","[1, 2, 0, 5, 0, 0, 0, 0, 0, 1, 2, 0, 5, 0]",1
"['LONDON', '1996-08-24']","[5, 0]",0
"['The', 'issue', 'is', 'the', 'protection', 'of', 'consumers', ""'"", 'health', 'and', 'the', 'rapid', 'eradication', 'of', 'BSE', ',', '""', 'he', 'added', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0]",4
"['Audi', 'AG', 'management', 'board', 'chairman', 'Herbert', 'Demel', 'said', 'on', 'Thursday', 'that', 'the', 'German', 'luxury', 'carmaker', ',', 'a', 'unit', 'of', 'Volkswagen', 'AG', ',', 'did', 'not', 'expect', 'any', 'burden', 'on', 'its', '1996', 'results', 'from', 'currency', 'market', 'volatility', '.']","[3, 4, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['The', 'SEC', 'dropped', 'a', 'third', 'proposal', 'that', 'would', 'have', 'allowed', 'investors', 'with', 'market', 'orders', 'to', 'trade', 'at', 'a', 'better', 'price', 'if', 'there', 'were', 'shifts', 'in', 'prices', 'before', 'their', 'orders', 'were', 'executed', '.']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Lebed', 'likely', 'to', 'fail', 'on', 'Chechnya', '-', 'Polish', 'minister', '.']","[1, 0, 0, 0, 0, 5, 0, 7, 0, 0]",0
"['U.S.', 'wheat', 'major', 'net', 'sales', 'activity', 'in', 'the', 'week', 'ended', 'Aug', '22', 'reported', 'by', 'exporters', 'for', 'the', 'following', 'purchasing', 'countries', ',', 'in', 'tonnes', ':']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['NEW', 'YORK', '1996-08-29']","[5, 6, 0]",4
"['provision', '3,820,000', '4,658,000', '7,047,000', '4,534,000']","[0, 0, 0, 0, 0]",2
"['""', 'It', 'would', 'seem', 'that', 'the', 'subject', 'of', 'extradition', 'is', 'unworthy', 'of', 'an', 'opinion', 'from', 'the', 'government', ',', '""', 'Deputy', 'Prosecutor-General', 'Adolfo', 'Salamanca', 'said', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0]",4
"['Jiul', 'Petrosani', '4', '3', '0', '1', '6', '4', '9']","[3, 4, 0, 0, 0, 0, 0, 0, 0]",4
"['Shr', '(', 'H.K.', 'cents', ')', '65.61', 'vs', '63.87']","[0, 0, 5, 0, 0, 0, 0, 0]",2
"['The', 'eight-year', 'war', 'between', 'the', 'two', 'countries', 'ended', 'with', 'a', 'U.N.-sponsored', 'ceasefire', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]",0
"['European', 'beef', 'sales', 'plunged', 'after', 'Britain', 'announced', 'the', 'discovery', 'of', 'a', 'likely', 'link', 'between', 'bovine', 'spongiform', 'encephalopathy', '(', 'BSE', ')', ',', 'or', 'mad', 'cow', 'disease', ',', 'and', 'its', 'fatal', 'human', 'equivalent', 'Creutzfeldt-Jakob', 'Disease', '(', 'CJD', ')', '.']","[7, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 7, 0, 0]",2
"['Phil', 'Mickelson', 'birdied', 'two', 'of', 'the', 'last', 'three', 'holes', 'to', 'win', 'World', 'Series', 'of', 'Golf', 'by', 'three', 'strokes', 'over', 'Billy', 'Mayfair', 'on', 'Sunday', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0, 0, 0, 0, 1, 2, 0, 0, 0]",1
"['One', 'dealer', 'said', 'positive', 'stances', 'from', 'Merrill', 'Lynch', 'and', 'SBC', 'Warburg', 'were', 'the', 'key', 'factors', 'behind', 'the', 'gains', '.']","[0, 0, 0, 0, 0, 0, 3, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['South', 'African', 'company', 'results', 'expected', 'next', 'week', 'include', 'the']","[7, 8, 0, 0, 0, 0, 0, 0, 0]",2
"['Following', 'are', 'some', 'of', 'the', 'main', 'factors', 'likely', 'to', 'affect', 'Indonesian', 'stocks', 'on', 'Thursday', ':']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0]",2
"['time', 'of', '55', 'minutes', '47.4', 'seconds']","[0, 0, 0, 0, 0, 0]",4
"['-', 'Work', 'groups', 'and', 'weekend', 'arrest', 'to', 'quell', 'juvenile', 'violence', 'in', 'Basque', 'Country']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6]",1
"['--', 'Bombay', 'newsroom', '+91-22-265', '9000']","[0, 5, 0, 0, 0]",4
"['Nantes', '4', '0', '1', '3', '2', '6', '1']","[3, 0, 0, 0, 0, 0, 0, 0]",4
"['Jiul', 'Petrosani', '1', 'Dinamo', 'Bucharest', '0']","[3, 4, 0, 3, 4, 0]",1
"['Irina', 'Spirlea', '(', 'Romania', ')', 'beat', 'Maria', 'Jose', 'Gaidano', '(', 'Argentina', ')', '6-1', '6-2']","[1, 2, 0, 5, 0, 0, 1, 2, 2, 0, 5, 0, 0, 0]",1
"['TVX', 'Gold', 'Inc', 'was', 'up', 'C$', '0.30', 'to', 'C$', '11.55', 'in', 'trading', 'of', '780,000', 'shares', ',', 'while', 'Kinross', 'Gold', 'Corp', 'gained', 'C$', '0.25', 'to', 'C$', '11', 'in', 'volume', 'of', '720,000', 'shares', '.']","[3, 4, 4, 0, 0, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]",2
"['IMOLA', ',', 'Italy', '1996-08-30']","[5, 0, 5, 0]",0
"['The', 'ministry', 'had', 'raised', '2.3', 'billion', 'guilders', 'from', 'sales', 'of', 'the', 'new', 'bond', 'by', 'the', 'close', 'of', 'trade', 'on', 'Wednesday', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['NEW', 'YORK', '74', '55', '.574', '-']","[3, 4, 0, 0, 0, 0]",4
"['His', 'supporters', 'will', 'contest', 'the', 'parliamentary', 'election', 'in', 'a', 'coalition', 'of', '30', 'mainly', 'small', 'parties', ',', 'the', 'Republican', 'Front', ',', 'led', 'by', 'Deby', ""'s"", 'Patriotic', 'Salvation', 'Movement', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 1, 0, 3, 4, 4, 0]",1
"['Valerenga', '3', 'Skeid', '0']","[3, 0, 3, 0]",1
"['These', 'are', 'the', 'leading', 'stories', 'in', 'the', 'Tunisian', 'press', 'on', 'Monday', '.']","[0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0]",0
"['Sao', 'Paulo', '4', '3', '1', '0', '10', '5', '10']","[3, 4, 0, 0, 0, 0, 0, 0, 0]",4
"['Cruzeiro', '3', '2', '1', '0', '4', '2', '7']","[3, 0, 0, 0, 0, 0, 0, 0]",1
"['We', 'have', 'been', 'very', 'positive', '(', 'on', 'property', ')', ',', '""', 'he', 'said', ',', 'adding', ':', '""', 'On', 'a', 'technical', 'basis', 'it', 'is', 'our', 'most', 'favoured', 'sector', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['BALTIMORE', 'AT', 'SEATTLE']","[3, 0, 5]",1
"['Gopal', 'Sharma']","[1, 2]",4
"['Commission', 'Regulation', '(', 'EC', ')', 'No', '1676/96', 'of', '30', 'July', '1996', 'amending', 'Regulation', '(', 'EEC', ')', 'No', '2454/93', 'laying', 'down', 'provisions', 'for', 'the', 'implementation', 'of', 'Council', 'Regulation', '(', 'EEC', ')', 'No', '2913/92', 'establishing', 'the', 'Community', 'Customs', 'Code', 'END', 'OF', 'DOCUMENT', '.']","[7, 8, 0, 3, 0, 7, 8, 0, 0, 0, 0, 0, 7, 0, 3, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 3, 0, 7, 8, 0, 0, 7, 8, 8, 0, 0, 0, 0]",4
"['Algeria', ',', 'fighting', 'a', 'vicious', 'war', 'against', 'Moslem', 'fundamentalist', 'guerrillas', ',', 'attacked', 'Britain', 'on', 'Wednesday', 'for', 'allowing', 'Islamist', 'groups', 'to', 'meet', 'in', 'London', '.']","[5, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 5, 0, 0, 0, 0, 7, 0, 0, 0, 0, 5, 0]",0
"['CLEVELAND', 'AT', 'DETROIT']","[3, 0, 5]",1
"['Former', 'England', 'rugby', 'captain', 'Will', 'Carling', ',', 'whose', 'marriage', 'broke', 'down', 'after', 'he', 'was', 'romantically', 'linked', 'to', 'Princess', 'Diana', ',', 'was', 'divorced', 'by', 'his', 'wife', 'on', 'Thursday', ',', 'just', '24', 'hours', 'after', 'Diana', 'and', 'Prince', 'Charles', 'divorced', '.']","[0, 5, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0]",1
